LEMMA	MSD	INF_G	INF_P
iskorijeniti	V;PRS;NOM(3;SG)	iskorijenim	iskorijenim
sklopiti	V;PRS;NOM(3;SG)	sklopim	sklopim
pješačiti	V;PRS;NOM(3;SG)	pješačim	pješačim
spasiti	V;PRS;NOM(3;SG)	spasim	spasim
okupiti	V;PRS;NOM(3;SG)	okupim	okupim
uozbiljiti	V;PRS;NOM(3;SG)	uozbiljim	uozbiljim
uspaliti	V;PRS;NOM(3;SG)	uspalim	uspalim
dogotoviti	V;PRS;NOM(3;SG)	dogotovim	dogotovim
zapjeniti	V;PRS;NOM(3;SG)	zapjenim	zapjenim
zavlačiti	V;PRS;NOM(3;SG)	zavlačim	zavlačim
naturiti	V;PRS;NOM(3;SG)	naturim	naturim
kasniti	V;PRS;NOM(3;SG)	kasnim	kasnim
pomoriti	V;PRS;NOM(3;SG)	pomorim	pomorim
prelomiti	V;PRS;NOM(3;SG)	prelomim	prelomim
pošašaviti	V;PRS;NOM(3;SG)	pošašavim	pošašavim
kalemiti	V;PRS;NOM(3;SG)	kalemim	kalemim
naseliti	V;PRS;NOM(3;SG)	naselim	naselim
okaniti	V;PRS;NOM(3;SG)	okanim	okanim
uslišiti	V;PRS;NOM(3;SG)	uslišim	uslišim
prikratiti	V;PRS;NOM(3;SG)	prikratim	prikratim
prehraniti	V;PRS;NOM(3;SG)	prehranim	prehranim
popustiti	V;PRS;NOM(3;SG)	popustsem	popustsem
posrebriti	V;PRS;NOM(3;SG)	posrebrim	posrebrim
osiromašiti	V;PRS;NOM(3;SG)	osiromašim	osiromašim
zamijetiti	V;PRS;NOM(3;SG)	zamijetmem	zamijetmem
poraditi	V;PRS;NOM(3;SG)	poradim	poradim
raspremiti	V;PRS;NOM(3;SG)	raspremim	raspremim
ojaditi	V;PRS;NOM(3;SG)	ojadim	ojadim
ishitriti	V;PRS;NOM(3;SG)	ishitrim	ishitrim
kalupiti	V;PRS;NOM(3;SG)	kalupim	kalupim
pariti	V;PRS;NOM(3;SG)	parim	parim
mastiti	V;PRS;NOM(3;SG)	mastsem	mastsem
zuriti	V;PRS;NOM(3;SG)	zurim	zurim
toviti	V;PRS;NOM(3;SG)	tovim	tovim
zgaziti	V;PRS;NOM(3;SG)	zgazim	zgazim
pogaziti	V;PRS;NOM(3;SG)	pogazim	pogazim
sukobiti	V;PRS;NOM(3;SG)	sukobim	sukobim
održati	V;PRS;NOM(3;SG)	održam	održam
urediti	V;PRS;NOM(3;SG)	uredim	uredim
optočiti	V;PRS;NOM(3;SG)	optočim	optočim
graditi	V;PRS;NOM(3;SG)	gradim	gradim
odseliti	V;PRS;NOM(3;SG)	odselim	odselim
bogoraditi	V;PRS;NOM(3;SG)	bogoradim	bogoradim
kotiti	V;PRS;NOM(3;SG)	kotim	kotim
porubiti	V;PRS;NOM(3;SG)	porubim	porubim
zasniježiti	V;PRS;NOM(3;SG)	zasniježim	zasniježim
glušiti	V;PRS;NOM(3;SG)	glušim	glušim
izmožditi	V;PRS;NOM(3;SG)	izmoždim	izmoždim
mokriti	V;PRS;NOM(3;SG)	mokrim	mokrim
prikupiti	V;PRS;NOM(3;SG)	prikupim	prikupim
izmučiti	V;PRS;NOM(3;SG)	izmučim	izmučim
smutiti	V;PRS;NOM(3;SG)	smutmem	smutmem
ježiti	V;PRS;NOM(3;SG)	ježim	ježim
usmrtiti	V;PRS;NOM(3;SG)	usmrtim	usmrtim
gladiti	V;PRS;NOM(3;SG)	gladim	gladim
telaliti	V;PRS;NOM(3;SG)	telalim	telalim
krijumčariti	V;PRS;NOM(3;SG)	krijumčarim	krijumčarim
opaliti	V;PRS;NOM(3;SG)	opalim	opalim
krpariti	V;PRS;NOM(3;SG)	krparim	krparim
zablatiti	V;PRS;NOM(3;SG)	zablatim	zablatim
nagrabiti	V;PRS;NOM(3;SG)	nagrabim	nagrabim
skužiti	V;PRS;NOM(3;SG)	skužim	skužim
preplaviti	V;PRS;NOM(3;SG)	preplavim	preplavim
cmizdriti	V;PRS;NOM(3;SG)	cmizdrim	cmizdrim
zagospodariti	V;PRS;NOM(3;SG)	zagospodarim	zagospodarim
jutriti	V;PRS;NOM(3;SG)	jutrim	jutrim
preplašiti	V;PRS;NOM(3;SG)	preplašim	preplašim
tražiti	V;PRS;NOM(3;SG)	tražim	tražim
kružiti	V;PRS;NOM(3;SG)	kružim	kružim
dodijeliti	V;PRS;NOM(3;SG)	dodijelim	dodijelim
isključiti	V;PRS;NOM(3;SG)	isključim	isključim
prisiliti	V;PRS;NOM(3;SG)	prisilim	prisilim
poludjeti	V;PRS;NOM(3;SG)	poludjmem	poludjmem
izostaviti	V;PRS;NOM(3;SG)	izostavim	izostavim
kriviti	V;PRS;NOM(3;SG)	krivim	krivim
grstiti	V;PRS;NOM(3;SG)	grstsem	grstsem
porazmjestiti	V;PRS;NOM(3;SG)	porazmjestsem	porazmjestsem
zaobilaziti	V;PRS;NOM(3;SG)	zaobilazim	zaobilazim
zagušiti	V;PRS;NOM(3;SG)	zagušim	zagušim
razglasiti	V;PRS;NOM(3;SG)	razglasim	razglasim
štetiti	V;PRS;NOM(3;SG)	štetmem	štetmem
rashladiti	V;PRS;NOM(3;SG)	rashladim	rashladim
zagraditi	V;PRS;NOM(3;SG)	zagradim	zagradim
zabrtviti	V;PRS;NOM(3;SG)	zabrtvim	zabrtvim
priskočiti	V;PRS;NOM(3;SG)	priskočim	priskočim
zaprašiti	V;PRS;NOM(3;SG)	zaprašim	zaprašim
krstariti	V;PRS;NOM(3;SG)	krstarim	krstarim
poraziti	V;PRS;NOM(3;SG)	porazim	porazim
zatreperiti	V;PRS;NOM(3;SG)	zatreperim	zatreperim
kupiti	V;PRS;NOM(3;SG)	kupim	kupim
spremiti	V;PRS;NOM(3;SG)	spremim	spremim
mandaliti	V;PRS;NOM(3;SG)	mandalim	mandalim
zamijesiti	V;PRS;NOM(3;SG)	zamijesim	zamijesim
pregrmjeti	V;PRS;NOM(3;SG)	pregrmjmem	pregrmjmem
prštati	V;PRS;NOM(3;SG)	prštam	prštam
pokupiti	V;PRS;NOM(3;SG)	pokupim	pokupim
pospješiti	V;PRS;NOM(3;SG)	pospješim	pospješim
usplahiriti	V;PRS;NOM(3;SG)	usplahirim	usplahirim
prevaliti	V;PRS;NOM(3;SG)	prevalim	prevalim
grubjeti	V;PRS;NOM(3;SG)	grubjmem	grubjmem
izdovoljiti	V;PRS;NOM(3;SG)	izdovoljim	izdovoljim
nauditi	V;PRS;NOM(3;SG)	naudim	naudim
prigrliti	V;PRS;NOM(3;SG)	prigrlim	prigrlim
izmjeniti	V;PRS;NOM(3;SG)	izmjenim	izmjenim
oličiti	V;PRS;NOM(3;SG)	oličim	oličim
iskupiti	V;PRS;NOM(3;SG)	iskupim	iskupim
pomiriti	V;PRS;NOM(3;SG)	pomirim	pomirim
usrećiti	V;PRS;NOM(3;SG)	usrećikem	usrećikem
žlijebiti	V;PRS;NOM(3;SG)	žlijebim	žlijebim
vztjeti	V;PRS;NOM(3;SG)	vztjmem	vztjmem
zasoliti	V;PRS;NOM(3;SG)	zasolim	zasolim
pretpostaviti	V;PRS;NOM(3;SG)	pretpostavim	pretpostavim
poslaveniti	V;PRS;NOM(3;SG)	poslavenim	poslavenim
podroniti	V;PRS;NOM(3;SG)	podronim	podronim
zakočiti	V;PRS;NOM(3;SG)	zakočim	zakočim
sroditi	V;PRS;NOM(3;SG)	srodim	srodim
zlorabiti	V;PRS;NOM(3;SG)	zlorabim	zlorabim
prirediti	V;PRS;NOM(3;SG)	priredim	priredim
izvztjeti	V;PRS;NOM(3;SG)	izvztjmem	izvztjmem
zakriviti	V;PRS;NOM(3;SG)	zakrivim	zakrivim
letjeti	V;PRS;NOM(3;SG)	letjmem	letjmem
cijeniti	V;PRS;NOM(3;SG)	cijenim	cijenim
odroniti	V;PRS;NOM(3;SG)	odronim	odronim
srediti	V;PRS;NOM(3;SG)	sredim	sredim
primjeriti	V;PRS;NOM(3;SG)	primjerim	primjerim
bubriti	V;PRS;NOM(3;SG)	bubrim	bubrim
mlatiti	V;PRS;NOM(3;SG)	mlatim	mlatim
ležati	V;PRS;NOM(3;SG)	ležam	ležam
povaliti	V;PRS;NOM(3;SG)	povalim	povalim
iskoračiti	V;PRS;NOM(3;SG)	iskoračim	iskoračim
razbuditi	V;PRS;NOM(3;SG)	razbudim	razbudim
javiti	V;PRS;NOM(3;SG)	javim	javim
prozujati	V;PRS;NOM(3;SG)	prozujam	prozujam
žuljati	V;PRS;NOM(3;SG)	žuljam	žuljam
poriti	V;PRS;NOM(3;SG)	porim	porim
potrčati	V;PRS;NOM(3;SG)	potrčam	potrčam
nakititi	V;PRS;NOM(3;SG)	nakitim	nakitim
knjižiti	V;PRS;NOM(3;SG)	knjižim	knjižim
prolomiti	V;PRS;NOM(3;SG)	prolomim	prolomim
prekrižiti	V;PRS;NOM(3;SG)	prekrižim	prekrižim
okopnjeti	V;PRS;NOM(3;SG)	okopnjmem	okopnjmem
istiještiti	V;PRS;NOM(3;SG)	istiještsem	istiještim
protusloviti	V;PRS;NOM(3;SG)	protuslovim	protuslovim
vjetriti	V;PRS;NOM(3;SG)	vjetrim	vjetrim
uraniti	V;PRS;NOM(3;SG)	uranim	uranim
povlačiti	V;PRS;NOM(3;SG)	povlačim	povlačim
podmazivati	V;PRS;NOM(3;SG)	podmazivam	podmazivam
oduljivati	V;PRS;NOM(3;SG)	oduljivam	oduljivam
zavrbovati	V;PRS;NOM(3;SG)	zavrbovam	zavrbovam
nasmijati	V;PRS;NOM(3;SG)	nasmijam	nasmijam
otvrdnjivati	V;PRS;NOM(3;SG)	otvrdnjivam	otvrdnjivam
snužđivati	V;PRS;NOM(3;SG)	snužđivam	snužđivam
zgrijati	V;PRS;NOM(3;SG)	zgrijam	zgrijam
kumovati	V;PRS;NOM(3;SG)	kumovam	kumovam
ismijati	V;PRS;NOM(3;SG)	ismijam	ismijam
objelodanjivati	V;PRS;NOM(3;SG)	objelodanjivam	objelodanjivam
obavješćivati	V;PRS;NOM(3;SG)	obavješćivam	obavješćivam
naviti	V;PRS;NOM(3;SG)	navim	navim
povjerovati	V;PRS;NOM(3;SG)	povjerovam	povjerovam
ocrnjivati	V;PRS;NOM(3;SG)	ocrnjivam	ocrnjivam
posijati	V;PRS;NOM(3;SG)	posijam	posijam
iskupljivati	V;PRS;NOM(3;SG)	iskupljivam	iskupljivam
otpočinjati	V;PRS;NOM(3;SG)	otpočinjam	otpočinjam
razdraživati	V;PRS;NOM(3;SG)	razdraživam	razdraživam
saznavati	V;PRS;NOM(3;SG)	saznavam	saznavam
prosjajivati	V;PRS;NOM(3;SG)	prosjajivam	prosjajivam
potrovati	V;PRS;NOM(3;SG)	potrovam	potrovam
uklješćivati	V;PRS;NOM(3;SG)	uklješćivam	uklješćivam
zakrčivati	V;PRS;NOM(3;SG)	zakrčivam	zakrčivam
urezivati	V;PRS;NOM(3;SG)	urezivam	urezivam
prijateljevati	V;PRS;NOM(3;SG)	prijateljevam	prijateljevam
obrazovati	V;PRS;NOM(3;SG)	obrazovam	obrazovam
ispuhivati	V;PRS;NOM(3;SG)	ispuhivam	ispuhivam
prokapljivati	V;PRS;NOM(3;SG)	prokapljivam	prokapljivam
dopisivati	V;PRS;NOM(3;SG)	dopisivam	dopisivam
pogodovati	V;PRS;NOM(3;SG)	pogodovam	pogodovam
izrugivati	V;PRS;NOM(3;SG)	izrugivam	izrugivam
isušivati	V;PRS;NOM(3;SG)	isušivam	isušivam
učlanjivati	V;PRS;NOM(3;SG)	učlanjivam	učlanjivam
prerezivati	V;PRS;NOM(3;SG)	prerezivam	prerezivam
žalovati	V;PRS;NOM(3;SG)	žalovam	žalovam
stupnjevati	V;PRS;NOM(3;SG)	stupnjevam	stupnjevam
raširivati	V;PRS;NOM(3;SG)	raširivam	raširivam
dokazivati	V;PRS;NOM(3;SG)	dokazivam	dokazivam
doimati	V;PRS;NOM(3;SG)	doimam	doimam
promašivati	V;PRS;NOM(3;SG)	promašivam	promašivam
zaprepašćivati	V;PRS;NOM(3;SG)	zaprepašćivam	zaprepašćivam
priskrbljivati	V;PRS;NOM(3;SG)	priskrbljivam	priskrbljivam
napinjati	V;PRS;NOM(3;SG)	napinjam	napinjam
smanjivati	V;PRS;NOM(3;SG)	smanjivam	smanjivam
skrućivati	V;PRS;NOM(3;SG)	skrućivam	skrućivam
ograđivati	V;PRS;NOM(3;SG)	ograđivam	ograđivam
razjarivati	V;PRS;NOM(3;SG)	razjarivam	razjarivam
načuti	V;PRS;NOM(3;SG)	načmem	načmem
pouzdavati	V;PRS;NOM(3;SG)	pouzdavam	pouzdavam
smućivati	V;PRS;NOM(3;SG)	smućivam	smućivam
sniti	V;PRS;NOM(3;SG)	snim	snim
odliti	V;PRS;NOM(3;SG)	odlim	odlim
trgovati	V;PRS;NOM(3;SG)	trgovam	trgovam
objavljivati	V;PRS;NOM(3;SG)	objavljivam	objavljivam
zaglupljivati	V;PRS;NOM(3;SG)	zaglupljivam	zaglupljivam
utrkivati	V;PRS;NOM(3;SG)	utrkivam	utrkivam
zabiti	V;PRS;NOM(3;SG)	zabim	zabim
dograđivati	V;PRS;NOM(3;SG)	dograđivam	dograđivam
ispsovati	V;PRS;NOM(3;SG)	ispsovam	ispsovam
uznapredovati	V;PRS;NOM(3;SG)	uznapredovam	uznapredovam
zaobljivati	V;PRS;NOM(3;SG)	zaobljivam	zaobljivam
ukoričivati	V;PRS;NOM(3;SG)	ukoričivam	ukoričivam
gostovati	V;PRS;NOM(3;SG)	gostovam	gostovam
oviti	V;PRS;NOM(3;SG)	ovim	ovim
zamračivati	V;PRS;NOM(3;SG)	zamračivam	zamračivam
ustrajati	V;PRS;NOM(3;SG)	ustrajam	ustrajam
podnapiti	V;PRS;NOM(3;SG)	podnapim	podnapim
izrađivati	V;PRS;NOM(3;SG)	izrađivam	izrađivam
izduživati	V;PRS;NOM(3;SG)	izduživam	izduživam
zaređivati	V;PRS;NOM(3;SG)	zaređivam	zaređivam
pristajati	V;PRS;NOM(3;SG)	pristajam	pristajam
potvrđivati	V;PRS;NOM(3;SG)	potvrđivam	potvrđivam
božićevati	V;PRS;NOM(3;SG)	božićevam	božićevam
natkriti	V;PRS;NOM(3;SG)	natkrim	natkrim
prekovati	V;PRS;NOM(3;SG)	prekovam	prekovam
nahrupljivati	V;PRS;NOM(3;SG)	nahrupljivam	nahrupljivam
začuti	V;PRS;NOM(3;SG)	začmem	začmem
hukati	V;PRS;NOM(3;SG)	hukam	hukam
šmrknuti	V;PRS;NOM(3;SG)	šmrknem	šmrknem
nadići	V;PRS;NOM(3;SG)	nadikem	nadikem
isklesati	V;PRS;NOM(3;SG)	isklesam	isklesam
zabosti	V;PRS;NOM(3;SG)	zabosem	zabosem
zderati	V;PRS;NOM(3;SG)	zderam	zderam
poodmaći	V;PRS;NOM(3;SG)	poodmakem	poodmakem
dopirati	V;PRS;NOM(3;SG)	dopiram	dopiram
okretati	V;PRS;NOM(3;SG)	okretam	okretam
susresti	V;PRS;NOM(3;SG)	susresem	susresem
obrecnuti	V;PRS;NOM(3;SG)	obrecnem	obrecnem
umirati	V;PRS;NOM(3;SG)	umiram	umiram
iščeznuti	V;PRS;NOM(3;SG)	iščeznem	iščeznem
prozepsti	V;PRS;NOM(3;SG)	prozenem	prozenem
umuknuti	V;PRS;NOM(3;SG)	umuknem	umuknem
gakati	V;PRS;NOM(3;SG)	gakam	gakam
prozirati	V;PRS;NOM(3;SG)	proziram	proziram
ukinuti	V;PRS;NOM(3;SG)	ukinem	ukinem
ruknuti	V;PRS;NOM(3;SG)	ruknem	ruknem
ljutnuti	V;PRS;NOM(3;SG)	ljutnem	ljutnem
ispolagati	V;PRS;NOM(3;SG)	ispolagam	ispolagam
sklonuti	V;PRS;NOM(3;SG)	sklonem	sklonem
zavući	V;PRS;NOM(3;SG)	zavukem	zavukem
polizati	V;PRS;NOM(3;SG)	polizam	polizam
pripisati	V;PRS;NOM(3;SG)	pripisam	pripisam
odjahati	V;PRS;NOM(3;SG)	odjaham	odjaham
izdupsti	V;PRS;NOM(3;SG)	izdunem	izdunem
posrati	V;PRS;NOM(3;SG)	posram	posram
podlegnuti	V;PRS;NOM(3;SG)	podlegnem	podlegnem
odgristi	V;PRS;NOM(3;SG)	odgrisem	odgrisem
požderati	V;PRS;NOM(3;SG)	požderam	požderam
naviknuti	V;PRS;NOM(3;SG)	naviknem	naviknem
proždirati	V;PRS;NOM(3;SG)	proždiram	proždiram
odrezati	V;PRS;NOM(3;SG)	odrezam	odrezam
izmusti	V;PRS;NOM(3;SG)	izmusem	izmusem
ždrijeti	V;PRS;NOM(3;SG)	ždrem	ždrem
odahnuti	V;PRS;NOM(3;SG)	odahnem	odahnem
domahnuti	V;PRS;NOM(3;SG)	domahnem	domahnem
prikrasti	V;PRS;NOM(3;SG)	prikrasem	prikrasem
zagrcnuti	V;PRS;NOM(3;SG)	zagrcnem	zagrcnem
zasjeći	V;PRS;NOM(3;SG)	zasjekem	zasjekem
zadići	V;PRS;NOM(3;SG)	zadikem	zadikem
zavrtati	V;PRS;NOM(3;SG)	zavrtam	zavrtam
iskati	V;PRS;NOM(3;SG)	iskam	iskam
zastrijeti	V;PRS;NOM(3;SG)	zastrem	zastrem
frktati	V;PRS;NOM(3;SG)	frktam	frktam
zazirati	V;PRS;NOM(3;SG)	zaziram	zaziram
drznuti	V;PRS;NOM(3;SG)	drznem	drznem
uvirati	V;PRS;NOM(3;SG)	uviram	uviram
prometati	V;PRS;NOM(3;SG)	prometam	prometam
izbrisati	V;PRS;NOM(3;SG)	izbrisam	izbrisam
stresti	V;PRS;NOM(3;SG)	stresem	stresem
pregristi	V;PRS;NOM(3;SG)	pregrisem	pregrisem
smaknuti	V;PRS;NOM(3;SG)	smaknem	smaknem
otjecati	V;PRS;NOM(3;SG)	otjecam	otjecam
musti	V;PRS;NOM(3;SG)	musem	musem
cvrcnuti	V;PRS;NOM(3;SG)	cvrcnem	cvrcnem
otesati	V;PRS;NOM(3;SG)	otesam	otesam
vinuti	V;PRS;NOM(3;SG)	vinem	vinem
isplakati	V;PRS;NOM(3;SG)	isplakam	isplakam
dokinuti	V;PRS;NOM(3;SG)	dokinem	dokinem
dotaći	V;PRS;NOM(3;SG)	dotakem	dotakem
nalijegati	V;PRS;NOM(3;SG)	nalijegam	nalijegam
izvući	V;PRS;NOM(3;SG)	izvukem	izvukem
sapeti	V;PRS;NOM(3;SG)	sapmem	sapmem
nadoći	V;PRS;NOM(3;SG)	nadokem	nadokem
priteći	V;PRS;NOM(3;SG)	pritekem	pritekem
umrijeti	V;PRS;NOM(3;SG)	umrem	umrem
razrasti	V;PRS;NOM(3;SG)	razrasem	razrasem
nagristi	V;PRS;NOM(3;SG)	nagrisem	nagrisem
potpisati	V;PRS;NOM(3;SG)	potpisam	potpisam
izvesti	V;PRS;NOM(3;SG)	izvesem	izvesem
iskrasti	V;PRS;NOM(3;SG)	iskrasem	iskrasem
odgonetnuti	V;PRS;NOM(3;SG)	odgonetnem	odgonetnem
odlaknuti	V;PRS;NOM(3;SG)	odlaknem	odlaknem
doprijeti	V;PRS;NOM(3;SG)	doprem	doprem
ižvakati	V;PRS;NOM(3;SG)	ižvakam	ižvakam
zanijekati	V;PRS;NOM(3;SG)	zanijekam	zanijekam
zapeći	V;PRS;NOM(3;SG)	zapekem	zapekem
moći	V;PRS;NOM(3;SG)	mokem	mokem
narisati	V;PRS;NOM(3;SG)	narisam	narisam
nanijeti	V;PRS;NOM(3;SG)	nanijmem	nanijmem
preokretati	V;PRS;NOM(3;SG)	preokretam	preokretam
klopotati	V;PRS;NOM(3;SG)	klopotam	klopotam
doseći	V;PRS;NOM(3;SG)	dosekem	dosekem
protepsti	V;PRS;NOM(3;SG)	protenem	protenem
snaći	V;PRS;NOM(3;SG)	snakem	snakem
razvezati	V;PRS;NOM(3;SG)	razvezam	razvezam
dostići	V;PRS;NOM(3;SG)	dostsem	dostsem
greznuti	V;PRS;NOM(3;SG)	greznem	greznem
okrznuti	V;PRS;NOM(3;SG)	okrznem	okrznem
saprati	V;PRS;NOM(3;SG)	sapram	sapram
pjevnuti	V;PRS;NOM(3;SG)	pjevnem	pjevnem
zavrgnuti	V;PRS;NOM(3;SG)	zavrgnem	zavrgnem
obrtati	V;PRS;NOM(3;SG)	obrtam	obrtam
poći	V;PRS;NOM(3;SG)	pokem	pokem
prerasti	V;PRS;NOM(3;SG)	prerasem	prerasem
obamrijeti	V;PRS;NOM(3;SG)	obamrem	obamrem
odapeti	V;PRS;NOM(3;SG)	odapmem	odapmem
sjesti	V;PRS;NOM(3;SG)	sjesem	sjesem
nakresati	V;PRS;NOM(3;SG)	nakresam	nakresam
zateći	V;PRS;NOM(3;SG)	zatekem	zatekem
pomirisati	V;PRS;NOM(3;SG)	pomirisam	pomirisam
postati	V;PRS;NOM(3;SG)	postam	postam
klizati	V;PRS;NOM(3;SG)	klizam	klizam
minuti	V;PRS;NOM(3;SG)	minem	minem
prasnuti	V;PRS;NOM(3;SG)	prasnem	prasnem
trenuti	V;PRS;NOM(3;SG)	trenem	trenem
izokretati	V;PRS;NOM(3;SG)	izokretam	izokretam
zamahnuti	V;PRS;NOM(3;SG)	zamahnem	zamahnem
poderati	V;PRS;NOM(3;SG)	poderam	poderam
utrnuti	V;PRS;NOM(3;SG)	utrnem	utrnem
uprijeti	V;PRS;NOM(3;SG)	uprem	uprem
primicati	V;PRS;NOM(3;SG)	primicam	primicam
iskazati	V;PRS;NOM(3;SG)	iskazam	iskazam
izorati	V;PRS;NOM(3;SG)	izoram	izoram
zajesti	V;PRS;NOM(3;SG)	zajesem	zajesem
prevagnuti	V;PRS;NOM(3;SG)	prevagnem	prevagnem
virnuti	V;PRS;NOM(3;SG)	virnem	virnem
lizati	V;PRS;NOM(3;SG)	lizam	lizam
nasuti	V;PRS;NOM(3;SG)	nasmem	nasmem
